ciudad origen	pais origen	ciudad destino	pais destino
Jakarta	Indonesia	Moscow	Russia
Jakarta	Indonesia	Edinburgh	Scotland
Jakarta	Indonesia	Glasgow	Scotland
Jakarta	Indonesia	Bratislava 	Slovakia
Jakarta	Indonesia	Kosice	Slovakia
Jakarta	Indonesia	Barcelona	Spain
Jakarta	Indonesia	Bilbao	Spain
Jakarta	Indonesia	Madrid	Spain
Jakarta	Indonesia	Seville	Spain
Jakarta	Indonesia	Valencia	Spain
Jakarta	Indonesia	Gothenburg	Sweden
Jakarta	Indonesia	Stockholm	Sweden
Jakarta	Indonesia	Basel	Switzerland
Jakarta	Indonesia	Frenkendorf	Switzerland
Jakarta	Indonesia	Rotterdam	The Netherlands
Jakarta	Indonesia	Istanbul	Turkey
Jakarta	Indonesia	Odessa	Ukraine
Jakarta	Indonesia	Kiev	Ukraine
Jakarta	Indonesia	Leeds	United Kingdom
Jakarta	Indonesia	Liverpool	United Kingdom
Jakarta	Indonesia	London	United Kingdom
Jakarta	Indonesia	Manchaster	United Kingdom
Surabaya	Indonesia	Salzburg	Austria
Surabaya	Indonesia	Vienna	Austria
Surabaya	Indonesia	Minsk	Belarus
Surabaya	Indonesia	Antwerp	Belgium
Surabaya	Indonesia	Ostrava	Czech Republic
Surabaya	Indonesia	Prague	Czech Republic
Surabaya	Indonesia	Aarhus	Denmark
Surabaya	Indonesia	Copenhagen	Denmark
Surabaya	Indonesia	Tallinn	Estonia
Surabaya	Indonesia	Helsinki	Finland
Surabaya	Indonesia	Kotka	Finland
Surabaya	Indonesia	Bordeaux	France
Surabaya	Indonesia	Le Havre	France
Surabaya	Indonesia	Lyon	France
Surabaya	Indonesia	Marseille	France
Surabaya	Indonesia	Nantes	France
Surabaya	Indonesia	Baunatal	Germany
Surabaya	Indonesia	Berlin	Germany
Surabaya	Indonesia	Bremen	Germany
Surabaya	Indonesia	Bremerhaven	Germany
Surabaya	Indonesia	Cologne	Germany
Surabaya	Indonesia	Duisburg	Germany
Surabaya	Indonesia	Frankfurt	Germany
Surabaya	Indonesia	Hamburg	Germany
Surabaya	Indonesia	Karlsruhe	Germany
Surabaya	Indonesia	Kornwestheim	Germany
Surabaya	Indonesia	Leipzig	Germany
Surabaya	Indonesia	Ludwigshafen	Germany
Surabaya	Indonesia	Mannheim	Germany
Surabaya	Indonesia	Munich	Germany
Surabaya	Indonesia	Neuss	Germany
Surabaya	Indonesia	Nuremberg	Germany
Surabaya	Indonesia	Regensburg	Germany
Surabaya	Indonesia	Stuttgart	Germany
Surabaya	Indonesia	Ulm	Germany
Surabaya	Indonesia	Woerth	Germany
Surabaya	Indonesia	Budapest	Hungary
Surabaya	Indonesia	Cork	Ireland
Surabaya	Indonesia	Dublin	Ireland
Surabaya	Indonesia	Genoa	Italy
Surabaya	Indonesia	La Spezia	Italy
Surabaya	Indonesia	Livorno	Italy
Surabaya	Indonesia	Milano	Italy
Surabaya	Indonesia	Naples	Italy
Surabaya	Indonesia	Venice	Italy 
Surabaya	Indonesia	Riga	Latvia
Surabaya	Indonesia	Klaipeda	Lithuania
Surabaya	Indonesia	Oslo	Norway
Surabaya	Indonesia	Stavanger	Norway
Surabaya	Indonesia	Gdynia	Poland
Surabaya	Indonesia	Gorzow	Poland
Surabaya	Indonesia	Lodz	Poland
Surabaya	Indonesia	Malasheviche	Poland
Surabaya	Indonesia	Poznan	Poland
Surabaya	Indonesia	Tuszyn	Poland
Surabaya	Indonesia	Warsaw	Poland
Surabaya	Indonesia	Wroclaw	Poland
Surabaya	Indonesia	Leicoes	Portugal
Surabaya	Indonesia	Lisbon	Portugal
Surabaya	Indonesia	Bukarest	Romania
Surabaya	Indonesia	Moscow	Russia
Surabaya	Indonesia	Edinburgh	Scotland
Surabaya	Indonesia	Glasgow	Scotland
Surabaya	Indonesia	Bratislava 	Slovakia
Surabaya	Indonesia	Kosice	Slovakia
Surabaya	Indonesia	Barcelona	Spain
Surabaya	Indonesia	Bilbao	Spain
Surabaya	Indonesia	Madrid	Spain
Surabaya	Indonesia	Seville	Spain
Surabaya	Indonesia	Valencia	Spain
Surabaya	Indonesia	Gothenburg	Sweden
Surabaya	Indonesia	Stockholm	Sweden
Surabaya	Indonesia	Basel	Switzerland
Surabaya	Indonesia	Frenkendorf	Switzerland
Surabaya	Indonesia	Rotterdam	The Netherlands
Surabaya	Indonesia	Istanbul	Turkey
Surabaya	Indonesia	Odessa	Ukraine
Surabaya	Indonesia	Kiev	Ukraine
Surabaya	Indonesia	Leeds	United Kingdom
Surabaya	Indonesia	Liverpool	United Kingdom
Surabaya	Indonesia	London	United Kingdom
Surabaya	Indonesia	Manchaster	United Kingdom
Port Kelang	Malaysia	Salzburg	Austria
Port Kelang	Malaysia	Vienna	Austria
Port Kelang	Malaysia	Minsk	Belarus
Port Kelang	Malaysia	Antwerp	Belgium
Port Kelang	Malaysia	Ostrava	Czech Republic
Port Kelang	Malaysia	Prague	Czech Republic
Port Kelang	Malaysia	Aarhus	Denmark
Port Kelang	Malaysia	Copenhagen	Denmark
Port Kelang	Malaysia	Tallinn	Estonia
Port Kelang	Malaysia	Helsinki	Finland
Port Kelang	Malaysia	Kotka	Finland
Port Kelang	Malaysia	Bordeaux	France
Port Kelang	Malaysia	Le Havre	France
Port Kelang	Malaysia	Lyon	France
Port Kelang	Malaysia	Marseille	France
Port Kelang	Malaysia	Nantes	France
Port Kelang	Malaysia	Baunatal	Germany
Port Kelang	Malaysia	Berlin	Germany
Port Kelang	Malaysia	Bremen	Germany
Port Kelang	Malaysia	Bremerhaven	Germany
Port Kelang	Malaysia	Cologne	Germany
Port Kelang	Malaysia	Duisburg	Germany
Port Kelang	Malaysia	Frankfurt	Germany
Port Kelang	Malaysia	Hamburg	Germany
Port Kelang	Malaysia	Karlsruhe	Germany
Port Kelang	Malaysia	Kornwestheim	Germany
Port Kelang	Malaysia	Leipzig	Germany
Port Kelang	Malaysia	Ludwigshafen	Germany
Port Kelang	Malaysia	Mannheim	Germany
Port Kelang	Malaysia	Munich	Germany
Port Kelang	Malaysia	Neuss	Germany
Port Kelang	Malaysia	Nuremberg	Germany
Port Kelang	Malaysia	Regensburg	Germany
Port Kelang	Malaysia	Stuttgart	Germany
Port Kelang	Malaysia	Ulm	Germany
Port Kelang	Malaysia	Woerth	Germany
Port Kelang	Malaysia	Budapest	Hungary
Port Kelang	Malaysia	Cork	Ireland
Port Kelang	Malaysia	Dublin	Ireland
Port Kelang	Malaysia	Genoa	Italy
Port Kelang	Malaysia	La Spezia	Italy
Port Kelang	Malaysia	Livorno	Italy
Port Kelang	Malaysia	Milano	Italy
Port Kelang	Malaysia	Naples	Italy
Port Kelang	Malaysia	Venice	Italy 
Port Kelang	Malaysia	Riga	Latvia
Port Kelang	Malaysia	Klaipeda	Lithuania
Port Kelang	Malaysia	Oslo	Norway
Port Kelang	Malaysia	Stavanger	Norway
Port Kelang	Malaysia	Gdynia	Poland
Port Kelang	Malaysia	Gorzow	Poland
Port Kelang	Malaysia	Lodz	Poland
Port Kelang	Malaysia	Malasheviche	Poland
Port Kelang	Malaysia	Poznan	Poland
Port Kelang	Malaysia	Tuszyn	Poland
Port Kelang	Malaysia	Warsaw	Poland
Port Kelang	Malaysia	Wroclaw	Poland
Port Kelang	Malaysia	Leicoes	Portugal
Port Kelang	Malaysia	Lisbon	Portugal
Port Kelang	Malaysia	Bukarest	Romania
Port Kelang	Malaysia	Moscow	Russia
Port Kelang	Malaysia	Edinburgh	Scotland
Port Kelang	Malaysia	Glasgow	Scotland
Port Kelang	Malaysia	Bratislava 	Slovakia
Port Kelang	Malaysia	Kosice	Slovakia
Port Kelang	Malaysia	Barcelona	Spain
Port Kelang	Malaysia	Bilbao	Spain
Port Kelang	Malaysia	Madrid	Spain
Port Kelang	Malaysia	Seville	Spain
Port Kelang	Malaysia	Valencia	Spain
Port Kelang	Malaysia	Gothenburg	Sweden
Port Kelang	Malaysia	Stockholm	Sweden
Port Kelang	Malaysia	Basel	Switzerland
Port Kelang	Malaysia	Frenkendorf	Switzerland
Port Kelang	Malaysia	Rotterdam	The Netherlands
Port Kelang	Malaysia	Istanbul	Turkey
Port Kelang	Malaysia	Odessa	Ukraine
Port Kelang	Malaysia	Kiev	Ukraine
Port Kelang	Malaysia	Leeds	United Kingdom
Port Kelang	Malaysia	Liverpool	United Kingdom
Port Kelang	Malaysia	London	United Kingdom
Port Kelang	Malaysia	Manchaster	United Kingdom
Penang	Malaysia	Salzburg	Austria
Penang	Malaysia	Vienna	Austria
Penang	Malaysia	Minsk	Belarus
Penang	Malaysia	Antwerp	Belgium
Penang	Malaysia	Ostrava	Czech Republic
Penang	Malaysia	Prague	Czech Republic
Penang	Malaysia	Aarhus	Denmark
Penang	Malaysia	Copenhagen	Denmark
Penang	Malaysia	Tallinn	Estonia
Penang	Malaysia	Helsinki	Finland
Penang	Malaysia	Kotka	Finland
Penang	Malaysia	Bordeaux	France
Penang	Malaysia	Le Havre	France
Penang	Malaysia	Lyon	France
Penang	Malaysia	Marseille	France
Penang	Malaysia	Nantes	France
Penang	Malaysia	Baunatal	Germany
Penang	Malaysia	Berlin	Germany
Penang	Malaysia	Bremen	Germany
Penang	Malaysia	Bremerhaven	Germany
Penang	Malaysia	Cologne	Germany
Penang	Malaysia	Duisburg	Germany
Penang	Malaysia	Frankfurt	Germany
Penang	Malaysia	Hamburg	Germany
Penang	Malaysia	Karlsruhe	Germany
Penang	Malaysia	Kornwestheim	Germany
Penang	Malaysia	Leipzig	Germany
Penang	Malaysia	Ludwigshafen	Germany
Penang	Malaysia	Mannheim	Germany
Penang	Malaysia	Munich	Germany
Penang	Malaysia	Neuss	Germany
Penang	Malaysia	Nuremberg	Germany
Penang	Malaysia	Regensburg	Germany
Penang	Malaysia	Stuttgart	Germany
Penang	Malaysia	Ulm	Germany
Penang	Malaysia	Woerth	Germany
Penang	Malaysia	Budapest	Hungary
Penang	Malaysia	Cork	Ireland
Penang	Malaysia	Dublin	Ireland
Penang	Malaysia	Genoa	Italy
Penang	Malaysia	La Spezia	Italy
Penang	Malaysia	Livorno	Italy
Penang	Malaysia	Milano	Italy
Penang	Malaysia	Naples	Italy
Penang	Malaysia	Venice	Italy 
Penang	Malaysia	Riga	Latvia
Penang	Malaysia	Klaipeda	Lithuania
Penang	Malaysia	Oslo	Norway
Penang	Malaysia	Stavanger	Norway
Penang	Malaysia	Gdynia	Poland
Penang	Malaysia	Gorzow	Poland
Penang	Malaysia	Lodz	Poland
Penang	Malaysia	Malasheviche	Poland
Penang	Malaysia	Poznan	Poland
Penang	Malaysia	Tuszyn	Poland
Penang	Malaysia	Warsaw	Poland
Penang	Malaysia	Wroclaw	Poland
Penang	Malaysia	Leicoes	Portugal
Penang	Malaysia	Lisbon	Portugal
Penang	Malaysia	Bukarest	Romania
Penang	Malaysia	Moscow	Russia
Penang	Malaysia	Edinburgh	Scotland
Penang	Malaysia	Glasgow	Scotland
Penang	Malaysia	Bratislava 	Slovakia
Penang	Malaysia	Kosice	Slovakia
Penang	Malaysia	Barcelona	Spain
Penang	Malaysia	Bilbao	Spain
Penang	Malaysia	Madrid	Spain
Penang	Malaysia	Seville	Spain
Penang	Malaysia	Valencia	Spain
Penang	Malaysia	Gothenburg	Sweden
Penang	Malaysia	Stockholm	Sweden
Penang	Malaysia	Basel	Switzerland
Penang	Malaysia	Frenkendorf	Switzerland
Penang	Malaysia	Rotterdam	The Netherlands
Penang	Malaysia	Istanbul	Turkey
Penang	Malaysia	Odessa	Ukraine
Penang	Malaysia	Kiev	Ukraine
Penang	Malaysia	Leeds	United Kingdom
Penang	Malaysia	Liverpool	United Kingdom
Penang	Malaysia	London	United Kingdom
Penang	Malaysia	Manchaster	United Kingdom
Laem Cha Bang	Thailand	Salzburg	Austria
Laem Cha Bang	Thailand	Vienna	Austria
Laem Cha Bang	Thailand	Minsk	Belarus
Laem Cha Bang	Thailand	Antwerp	Belgium
Laem Cha Bang	Thailand	Ostrava	Czech Republic
Laem Cha Bang	Thailand	Prague	Czech Republic
Laem Cha Bang	Thailand	Aarhus	Denmark
Laem Cha Bang	Thailand	Copenhagen	Denmark
Laem Cha Bang	Thailand	Tallinn	Estonia
Laem Cha Bang	Thailand	Helsinki	Finland
Laem Cha Bang	Thailand	Kotka	Finland
Laem Cha Bang	Thailand	Bordeaux	France
Laem Cha Bang	Thailand	Le Havre	France
Laem Cha Bang	Thailand	Lyon	France
Laem Cha Bang	Thailand	Marseille	France
Laem Cha Bang	Thailand	Nantes	France
Laem Cha Bang	Thailand	Baunatal	Germany
Laem Cha Bang	Thailand	Berlin	Germany
Laem Cha Bang	Thailand	Bremen	Germany
Laem Cha Bang	Thailand	Bremerhaven	Germany
Laem Cha Bang	Thailand	Cologne	Germany
Laem Cha Bang	Thailand	Duisburg	Germany
Laem Cha Bang	Thailand	Frankfurt	Germany
Laem Cha Bang	Thailand	Hamburg	Germany
Laem Cha Bang	Thailand	Karlsruhe	Germany
Laem Cha Bang	Thailand	Kornwestheim	Germany
Laem Cha Bang	Thailand	Leipzig	Germany
Laem Cha Bang	Thailand	Ludwigshafen	Germany
Laem Cha Bang	Thailand	Mannheim	Germany
Laem Cha Bang	Thailand	Munich	Germany
Laem Cha Bang	Thailand	Neuss	Germany
Laem Cha Bang	Thailand	Nuremberg	Germany
Laem Cha Bang	Thailand	Regensburg	Germany
Laem Cha Bang	Thailand	Stuttgart	Germany
Laem Cha Bang	Thailand	Ulm	Germany
Laem Cha Bang	Thailand	Woerth	Germany
Laem Cha Bang	Thailand	Budapest	Hungary
Laem Cha Bang	Thailand	Cork	Ireland
Laem Cha Bang	Thailand	Dublin	Ireland
Laem Cha Bang	Thailand	Genoa	Italy
Laem Cha Bang	Thailand	La Spezia	Italy
Laem Cha Bang	Thailand	Livorno	Italy
Laem Cha Bang	Thailand	Milano	Italy
Laem Cha Bang	Thailand	Naples	Italy
Laem Cha Bang	Thailand	Venice	Italy 
Laem Cha Bang	Thailand	Riga	Latvia
Laem Cha Bang	Thailand	Klaipeda	Lithuania
Laem Cha Bang	Thailand	Oslo	Norway
Laem Cha Bang	Thailand	Stavanger	Norway
Laem Cha Bang	Thailand	Gdynia	Poland
Laem Cha Bang	Thailand	Gorzow	Poland
Laem Cha Bang	Thailand	Lodz	Poland
Laem Cha Bang	Thailand	Malasheviche	Poland
Laem Cha Bang	Thailand	Poznan	Poland
Laem Cha Bang	Thailand	Tuszyn	Poland
Laem Cha Bang	Thailand	Warsaw	Poland
Laem Cha Bang	Thailand	Wroclaw	Poland
Laem Cha Bang	Thailand	Leicoes	Portugal
Laem Cha Bang	Thailand	Lisbon	Portugal
Laem Cha Bang	Thailand	Bukarest	Romania
Laem Cha Bang	Thailand	Moscow	Russia
Laem Cha Bang	Thailand	Edinburgh	Scotland
Laem Cha Bang	Thailand	Glasgow	Scotland
Laem Cha Bang	Thailand	Bratislava 	Slovakia
Laem Cha Bang	Thailand	Kosice	Slovakia
Laem Cha Bang	Thailand	Barcelona	Spain
Laem Cha Bang	Thailand	Bilbao	Spain
Laem Cha Bang	Thailand	Madrid	Spain
Laem Cha Bang	Thailand	Seville	Spain
Laem Cha Bang	Thailand	Valencia	Spain
Laem Cha Bang	Thailand	Gothenburg	Sweden
Laem Cha Bang	Thailand	Stockholm	Sweden
Laem Cha Bang	Thailand	Basel	Switzerland
Laem Cha Bang	Thailand	Frenkendorf	Switzerland
Laem Cha Bang	Thailand	Rotterdam	The Netherlands
Laem Cha Bang	Thailand	Istanbul	Turkey
Laem Cha Bang	Thailand	Odessa	Ukraine
Laem Cha Bang	Thailand	Kiev	Ukraine
Laem Cha Bang	Thailand	Leeds	United Kingdom
Laem Cha Bang	Thailand	Liverpool	United Kingdom
Laem Cha Bang	Thailand	London	United Kingdom
Laem Cha Bang	Thailand	Manchaster	United Kingdom
Bangkok	Thailand	Salzburg	Austria
Bangkok	Thailand	Vienna	Austria
Bangkok	Thailand	Minsk	Belarus
Bangkok	Thailand	Antwerp	Belgium
Bangkok	Thailand	Ostrava	Czech Republic
Bangkok	Thailand	Prague	Czech Republic
Bangkok	Thailand	Aarhus	Denmark
Bangkok	Thailand	Copenhagen	Denmark
Bangkok	Thailand	Tallinn	Estonia
Bangkok	Thailand	Helsinki	Finland
Bangkok	Thailand	Kotka	Finland
Bangkok	Thailand	Bordeaux	France
Bangkok	Thailand	Le Havre	France
Bangkok	Thailand	Lyon	France
Bangkok	Thailand	Marseille	France
Bangkok	Thailand	Nantes	France
Bangkok	Thailand	Baunatal	Germany
Bangkok	Thailand	Berlin	Germany
Bangkok	Thailand	Bremen	Germany
Bangkok	Thailand	Bremerhaven	Germany
Bangkok	Thailand	Cologne	Germany
Bangkok	Thailand	Duisburg	Germany
Bangkok	Thailand	Frankfurt	Germany
Bangkok	Thailand	Hamburg	Germany
Bangkok	Thailand	Karlsruhe	Germany
Bangkok	Thailand	Kornwestheim	Germany
Bangkok	Thailand	Leipzig	Germany
Bangkok	Thailand	Ludwigshafen	Germany
Bangkok	Thailand	Mannheim	Germany
Bangkok	Thailand	Munich	Germany
Bangkok	Thailand	Neuss	Germany
Bangkok	Thailand	Nuremberg	Germany
Bangkok	Thailand	Regensburg	Germany
Bangkok	Thailand	Stuttgart	Germany
Bangkok	Thailand	Ulm	Germany
Bangkok	Thailand	Woerth	Germany
Bangkok	Thailand	Budapest	Hungary
Bangkok	Thailand	Cork	Ireland
Bangkok	Thailand	Dublin	Ireland
Bangkok	Thailand	Genoa	Italy
Bangkok	Thailand	La Spezia	Italy
Bangkok	Thailand	Livorno	Italy
Bangkok	Thailand	Milano	Italy
Bangkok	Thailand	Naples	Italy
Bangkok	Thailand	Venice	Italy 
Bangkok	Thailand	Riga	Latvia
Bangkok	Thailand	Klaipeda	Lithuania
Bangkok	Thailand	Oslo	Norway
Bangkok	Thailand	Stavanger	Norway
Bangkok	Thailand	Gdynia	Poland
Bangkok	Thailand	Gorzow	Poland
Bangkok	Thailand	Lodz	Poland
Bangkok	Thailand	Malasheviche	Poland
Bangkok	Thailand	Poznan	Poland
Bangkok	Thailand	Tuszyn	Poland
Bangkok	Thailand	Warsaw	Poland
Bangkok	Thailand	Wroclaw	Poland
Bangkok	Thailand	Leicoes	Portugal
Bangkok	Thailand	Lisbon	Portugal
Bangkok	Thailand	Bukarest	Romania
Bangkok	Thailand	Moscow	Russia
Bangkok	Thailand	Edinburgh	Scotland
Bangkok	Thailand	Glasgow	Scotland
Bangkok	Thailand	Bratislava 	Slovakia
Bangkok	Thailand	Kosice	Slovakia
Bangkok	Thailand	Barcelona	Spain
Bangkok	Thailand	Bilbao	Spain
Bangkok	Thailand	Madrid	Spain
Bangkok	Thailand	Seville	Spain
Bangkok	Thailand	Valencia	Spain
Bangkok	Thailand	Gothenburg	Sweden
Bangkok	Thailand	Stockholm	Sweden
Bangkok	Thailand	Basel	Switzerland
Bangkok	Thailand	Frenkendorf	Switzerland
Bangkok	Thailand	Rotterdam	The Netherlands
Bangkok	Thailand	Istanbul	Turkey
Bangkok	Thailand	Odessa	Ukraine
Bangkok	Thailand	Kiev	Ukraine
Bangkok	Thailand	Leeds	United Kingdom
Bangkok	Thailand	Liverpool	United Kingdom
Bangkok	Thailand	London	United Kingdom
Bangkok	Thailand	Manchaster	United Kingdom
Haiphong	Vietnam	Salzburg	Austria
Haiphong	Vietnam	Vienna	Austria
Haiphong	Vietnam	Minsk	Belarus
Haiphong	Vietnam	Antwerp	Belgium
Haiphong	Vietnam	Ostrava	Czech Republic
Haiphong	Vietnam	Prague	Czech Republic
Haiphong	Vietnam	Aarhus	Denmark
Haiphong	Vietnam	Copenhagen	Denmark
Haiphong	Vietnam	Tallinn	Estonia
Haiphong	Vietnam	Helsinki	Finland
Haiphong	Vietnam	Kotka	Finland
Haiphong	Vietnam	Bordeaux	France
Haiphong	Vietnam	Le Havre	France
Haiphong	Vietnam	Lyon	France
Haiphong	Vietnam	Marseille	France
Haiphong	Vietnam	Nantes	France
Haiphong	Vietnam	Baunatal	Germany
Haiphong	Vietnam	Berlin	Germany
Haiphong	Vietnam	Bremen	Germany
Haiphong	Vietnam	Bremerhaven	Germany
Haiphong	Vietnam	Cologne	Germany
Haiphong	Vietnam	Duisburg	Germany
Haiphong	Vietnam	Frankfurt	Germany
Haiphong	Vietnam	Hamburg	Germany
Haiphong	Vietnam	Karlsruhe	Germany
Haiphong	Vietnam	Kornwestheim	Germany
Haiphong	Vietnam	Leipzig	Germany
Haiphong	Vietnam	Ludwigshafen	Germany
Haiphong	Vietnam	Mannheim	Germany
Haiphong	Vietnam	Munich	Germany
Haiphong	Vietnam	Neuss	Germany
Haiphong	Vietnam	Nuremberg	Germany
Haiphong	Vietnam	Regensburg	Germany
Haiphong	Vietnam	Stuttgart	Germany
Haiphong	Vietnam	Ulm	Germany
Haiphong	Vietnam	Woerth	Germany
Haiphong	Vietnam	Budapest	Hungary
Haiphong	Vietnam	Cork	Ireland
Haiphong	Vietnam	Dublin	Ireland
Haiphong	Vietnam	Genoa	Italy
Haiphong	Vietnam	La Spezia	Italy
Haiphong	Vietnam	Livorno	Italy
Haiphong	Vietnam	Milano	Italy
Haiphong	Vietnam	Naples	Italy
Haiphong	Vietnam	Venice	Italy 
Haiphong	Vietnam	Riga	Latvia
Haiphong	Vietnam	Klaipeda	Lithuania
Haiphong	Vietnam	Oslo	Norway
Haiphong	Vietnam	Stavanger	Norway
Haiphong	Vietnam	Gdynia	Poland
Haiphong	Vietnam	Gorzow	Poland
Haiphong	Vietnam	Lodz	Poland
Haiphong	Vietnam	Malasheviche	Poland
Haiphong	Vietnam	Poznan	Poland
Haiphong	Vietnam	Tuszyn	Poland
Haiphong	Vietnam	Warsaw	Poland
Haiphong	Vietnam	Wroclaw	Poland
Haiphong	Vietnam	Leicoes	Portugal
Haiphong	Vietnam	Lisbon	Portugal
Haiphong	Vietnam	Bukarest	Romania
Haiphong	Vietnam	Moscow	Russia
Haiphong	Vietnam	Edinburgh	Scotland
Haiphong	Vietnam	Glasgow	Scotland
Haiphong	Vietnam	Bratislava 	Slovakia
Haiphong	Vietnam	Kosice	Slovakia
Haiphong	Vietnam	Barcelona	Spain
Haiphong	Vietnam	Bilbao	Spain
Haiphong	Vietnam	Madrid	Spain
Haiphong	Vietnam	Seville	Spain
Haiphong	Vietnam	Valencia	Spain
Haiphong	Vietnam	Gothenburg	Sweden
Haiphong	Vietnam	Stockholm	Sweden
Haiphong	Vietnam	Basel	Switzerland
Haiphong	Vietnam	Frenkendorf	Switzerland
Haiphong	Vietnam	Rotterdam	The Netherlands
Haiphong	Vietnam	Istanbul	Turkey
Haiphong	Vietnam	Odessa	Ukraine
Haiphong	Vietnam	Kiev	Ukraine
Haiphong	Vietnam	Leeds	United Kingdom
Haiphong	Vietnam	Liverpool	United Kingdom
Haiphong	Vietnam	London	United Kingdom
Haiphong	Vietnam	Manchaster	United Kingdom
Ho Chi Minh	Vietnam	Salzburg	Austria
Ho Chi Minh	Vietnam	Vienna	Austria
Ho Chi Minh	Vietnam	Minsk	Belarus
Ho Chi Minh	Vietnam	Antwerp	Belgium
Ho Chi Minh	Vietnam	Ostrava	Czech Republic
Ho Chi Minh	Vietnam	Prague	Czech Republic
Ho Chi Minh	Vietnam	Aarhus	Denmark
Ho Chi Minh	Vietnam	Copenhagen	Denmark
Ho Chi Minh	Vietnam	Tallinn	Estonia
Ho Chi Minh	Vietnam	Helsinki	Finland
Ho Chi Minh	Vietnam	Kotka	Finland
Ho Chi Minh	Vietnam	Bordeaux	France
Ho Chi Minh	Vietnam	Le Havre	France
Ho Chi Minh	Vietnam	Lyon	France
Ho Chi Minh	Vietnam	Marseille	France
Ho Chi Minh	Vietnam	Nantes	France
Ho Chi Minh	Vietnam	Baunatal	Germany
Ho Chi Minh	Vietnam	Berlin	Germany
Ho Chi Minh	Vietnam	Bremen	Germany
Ho Chi Minh	Vietnam	Bremerhaven	Germany
Ho Chi Minh	Vietnam	Cologne	Germany
Ho Chi Minh	Vietnam	Duisburg	Germany
Ho Chi Minh	Vietnam	Frankfurt	Germany
Ho Chi Minh	Vietnam	Hamburg	Germany
Ho Chi Minh	Vietnam	Karlsruhe	Germany
Ho Chi Minh	Vietnam	Kornwestheim	Germany
Ho Chi Minh	Vietnam	Leipzig	Germany
Ho Chi Minh	Vietnam	Ludwigshafen	Germany
Ho Chi Minh	Vietnam	Mannheim	Germany
Ho Chi Minh	Vietnam	Munich	Germany
Ho Chi Minh	Vietnam	Neuss	Germany
Ho Chi Minh	Vietnam	Nuremberg	Germany
Ho Chi Minh	Vietnam	Regensburg	Germany
Ho Chi Minh	Vietnam	Stuttgart	Germany
Ho Chi Minh	Vietnam	Ulm	Germany
Ho Chi Minh	Vietnam	Woerth	Germany
Ho Chi Minh	Vietnam	Budapest	Hungary
Ho Chi Minh	Vietnam	Cork	Ireland
Ho Chi Minh	Vietnam	Dublin	Ireland
Ho Chi Minh	Vietnam	Genoa	Italy
Ho Chi Minh	Vietnam	La Spezia	Italy
Ho Chi Minh	Vietnam	Livorno	Italy
Ho Chi Minh	Vietnam	Milano	Italy
Ho Chi Minh	Vietnam	Naples	Italy
Ho Chi Minh	Vietnam	Venice	Italy 
Ho Chi Minh	Vietnam	Riga	Latvia
Ho Chi Minh	Vietnam	Klaipeda	Lithuania
Ho Chi Minh	Vietnam	Oslo	Norway
Ho Chi Minh	Vietnam	Stavanger	Norway
Ho Chi Minh	Vietnam	Gdynia	Poland
Ho Chi Minh	Vietnam	Gorzow	Poland
Ho Chi Minh	Vietnam	Lodz	Poland
Ho Chi Minh	Vietnam	Malasheviche	Poland
Ho Chi Minh	Vietnam	Poznan	Poland
Ho Chi Minh	Vietnam	Tuszyn	Poland
Ho Chi Minh	Vietnam	Warsaw	Poland
Ho Chi Minh	Vietnam	Wroclaw	Poland
Ho Chi Minh	Vietnam	Leicoes	Portugal
Ho Chi Minh	Vietnam	Lisbon	Portugal
Ho Chi Minh	Vietnam	Bukarest	Romania
Ho Chi Minh	Vietnam	Moscow	Russia
Ho Chi Minh	Vietnam	Edinburgh	Scotland
Ho Chi Minh	Vietnam	Glasgow	Scotland
Ho Chi Minh	Vietnam	Bratislava 	Slovakia
Ho Chi Minh	Vietnam	Kosice	Slovakia
Ho Chi Minh	Vietnam	Barcelona	Spain
Ho Chi Minh	Vietnam	Bilbao	Spain
Ho Chi Minh	Vietnam	Madrid	Spain
Ho Chi Minh	Vietnam	Seville	Spain
Ho Chi Minh	Vietnam	Valencia	Spain
Ho Chi Minh	Vietnam	Gothenburg	Sweden
Ho Chi Minh	Vietnam	Stockholm	Sweden
Ho Chi Minh	Vietnam	Basel	Switzerland
Ho Chi Minh	Vietnam	Frenkendorf	Switzerland
Ho Chi Minh	Vietnam	Rotterdam	The Netherlands
Ho Chi Minh	Vietnam	Istanbul	Turkey
Ho Chi Minh	Vietnam	Odessa	Ukraine
Ho Chi Minh	Vietnam	Kiev	Ukraine
Ho Chi Minh	Vietnam	Leeds	United Kingdom
Ho Chi Minh	Vietnam	Liverpool	United Kingdom
Ho Chi Minh	Vietnam	London	United Kingdom
Ho Chi Minh	Vietnam	Manchaster	United Kingdom
Manila	Philippines	Salzburg	Austria
Manila	Philippines	Vienna	Austria
Manila	Philippines	Minsk	Belarus
Manila	Philippines	Antwerp	Belgium
Manila	Philippines	Ostrava	Czech Republic
Manila	Philippines	Prague	Czech Republic
Manila	Philippines	Aarhus	Denmark
Manila	Philippines	Copenhagen	Denmark
Manila	Philippines	Tallinn	Estonia
Manila	Philippines	Helsinki	Finland
Manila	Philippines	Kotka	Finland
Manila	Philippines	Bordeaux	France
Manila	Philippines	Le Havre	France
Manila	Philippines	Lyon	France
Manila	Philippines	Marseille	France
Manila	Philippines	Nantes	France
